id,nome,descricao,imagens,repositorio,destaque
1,Bitcent,"Bitcent é uma plataforma web de gestão financeira desenvolvida com Next.js, TypeScript e Firebase. Implementa autenticação OAuth2, interface moderna com Mantine UI, e sistema de cache com SSR/SSG. Utiliza arquitetura modular com componentes React isolados e regras de segurança Firestore, demonstrando expertise em desenvolvimento web moderno.","[""https://res.cloudinary.com/du55aj4g9/image/upload/v1743448729/dashboard_ll1xrw.jpg"", ""https://res.cloudinary.com/du55aj4g9/image/upload/v1743448728/hero_wd1blr.jpg""]",https://github.com/marllonramoss/bitcent_project,true
2,BarbaBrutal ,BarbaBrutal é um aplicativo de agendamento de horários para uma barbearia. Ele possui login de usuário e a capacidade de reservar horários disponíveis com os barbeiros.,"[""https://github.com/portfolio-projetos-dev/poupig/raw/main/.gitassets/1.jpg"",""https://github.com/portfolio-projetos-dev/poupig/raw/main/.gitassets/2.jpg""]",https://github.com/marllonramoss/pt-BR_BARBA_BRUTAL,true
3,E-commerce - Solução Personalizada de Vendas Online - Web App,"Plataforma e-commerce full-stack desenvolvida com Next.js, integrando Clerk para autenticação, Stripe para pagamentos e PostgreSQL como banco de dados. Sistema completo de vendas online com foco em performance e custo-benefício",,https://github.com/marllonramoss/pt-BR_BARBA_BRUTAL,true
4,Fizzi Soda,"Modern landing page built with Next.js 14, React Three Fiber, and GSAP, delivering an immersive experience with interactive 3D elements and smooth animations. Integrated with Prismic CMS for content management.",,https://github.com/marllonramoss/en-US_Fizzi-LP,true
